FullDate,IsCanceled
20150701,14
20150702,48
20150703,6
20150704,29
20150705,8
20150706,29
20150707,17
20150708,16
20150709,45
20150710,7
20150711,31
20150712,18
20150713,32
20150714,6
20150715,18
20150716,50
20150717,36
20150718,68
20150719,7
20150720,57
20150721,39
20150722,77
20150723,52
20150724,2
20150725,87
20150726,4
20150727,82
20150728,2
20150729,3
20150730,46
20150731,3
20150801,19
20150802,0
20150803,99
20150804,3
20150805,58
20150806,23
20150807,45
20150808,80
20150809,2
20150810,66
20150811,6
20150812,39
20150813,45
20150814,201
20150815,69
20150816,5
20150817,68
20150818,19
20150819,1
20150820,46
20150821,7
20150822,45
20150823,2
20150824,55
20150825,47
20150826,42
20150827,45
20150828,9
20150829,12
20150830,45
20150831,29
20150901,2
20150902,5
20150903,41
20150904,25
20150905,119
20150906,11
20150907,30
20150908,26
20150909,56
20150910,63
20150911,77
20150912,68
20150913,4
20150914,30
20150915,5
20150916,43
20150917,97
20150918,197
20150919,53
20150920,36
20150921,68
20150922,9
20150923,38
20150924,101
20150925,90
20150926,72
20150927,13
20150928,32
20150929,40
20150930,92
20151001,30
20151002,17
20151003,100
20151004,27
20151005,91
20151006,57
20151007,53
20151008,50
20151009,20
20151010,93
20151011,28
20151012,42
20151013,7
20151014,3
20151015,66
20151016,221
20151017,67
20151018,11
20151019,55
20151020,11
20151021,12
20151022,7
20151023,6
20151024,48
20151025,12
20151026,28
20151027,0
20151028,8
20151029,52
20151030,38
20151031,61
20151101,1
20151102,15
20151103,2
20151104,21
20151105,5
20151106,10
20151107,13
20151108,4
20151109,33
20151110,6
20151111,2
20151112,4
20151113,29
20151114,3
20151115,1
20151116,1
20151117,6
20151118,8
20151119,7
20151120,17
20151121,1
20151122,2
20151123,66
20151124,4
20151125,5
20151126,6
20151127,11
20151128,9
20151129,4
20151130,5
20151201,11
20151202,5
20151203,19
20151204,38
20151205,87
20151206,4
20151207,0
20151208,165
20151209,84
20151210,3
20151211,5
20151212,2
20151213,3
20151214,2
20151215,2
20151216,2
20151217,2
20151218,4
20151219,6
20151220,1
20151221,1
20151222,2
20151223,2
20151224,15
20151225,6
20151226,16
20151227,34
20151228,16
20151229,52
20151230,55
20151231,24
20160101,6
20160102,34
20160103,16
20160104,0
20160105,3
20160106,3
20160107,4
20160108,4
20160109,5
20160110,5
20160111,1
20160112,10
20160113,4
20160114,18
20160115,15
20160116,12
20160117,4
20160118,9
20160119,37
20160120,8
20160121,3
20160122,81
20160123,6
20160124,5
20160125,13
20160126,8
20160127,83
20160128,14
20160129,16
20160130,9
20160131,2
20160201,7
20160202,15
20160203,8
20160204,13
20160205,21
20160206,23
20160207,11
20160208,6
20160209,11
20160210,12
20160211,13
20160212,40
20160213,24
20160214,19
20160215,9
20160216,8
20160217,209
20160218,11
20160219,86
20160220,13
20160221,51
20160222,13
20160223,8
20160224,32
20160225,56
20160226,29
20160227,24
20160228,122
20160229,36
20160301,14
20160302,21
20160303,25
20160304,57
20160305,19
20160306,9
20160307,20
20160308,16
20160309,16
20160310,20
20160311,33
20160312,20
20160313,14
20160314,7
20160315,15
20160316,15
20160317,47
20160318,77
20160319,58
20160320,97
20160321,46
20160322,59
20160323,29
20160324,44
20160325,115
20160326,43
20160327,14
20160328,19
20160329,16
20160330,61
20160331,62
20160401,25
20160402,29
20160403,28
20160404,41
20160405,26
20160406,86
20160407,56
20160408,48
20160409,56
20160410,35
20160411,28
20160412,36
20160413,63
20160414,121
20160415,46
20160416,28
20160417,53
20160418,23
20160419,61
20160420,71
20160421,49
20160422,106
20160423,31
20160424,55
20160425,22
20160426,20
20160427,62
20160428,138
20160429,62
20160430,34
20160501,22
20160502,53
20160503,13
20160504,29
20160505,115
20160506,21
20160507,40
20160508,34
20160509,29
20160510,35
20160511,24
20160512,60
20160513,124
20160514,24
20160515,21
20160516,45
20160517,53
20160518,22
20160519,84
20160520,104
20160521,53
20160522,22
20160523,25
20160524,118
20160525,9
20160526,56
20160527,20
20160528,19
20160529,45
20160530,41
20160531,76
20160601,22
20160602,119
20160603,53
20160604,42
20160605,30
20160606,19
20160607,68
20160608,109
20160609,105
20160610,48
20160611,8
20160612,92
20160613,12
20160614,133
20160615,148
20160616,50
20160617,164
20160618,27
20160619,22
20160620,67
20160621,19
20160622,11
20160623,55
20160624,48
20160625,12
20160626,49
20160627,64
20160628,32
20160629,21
20160630,71
20160701,68
20160702,33
20160703,21
20160704,30
20160705,14
20160706,82
20160707,77
20160708,32
20160709,27
20160710,12
20160711,48
20160712,17
20160713,17
20160714,57
20160715,26
20160716,33
20160717,19
20160718,32
20160719,18
20160720,46
20160721,47
20160722,25
20160723,33
20160724,23
20160725,34
20160726,21
20160727,50
20160728,47
20160729,9
20160730,27
20160731,18
20160801,42
20160802,24
20160803,31
20160804,57
20160805,46
20160806,39
20160807,24
20160808,46
20160809,26
20160810,44
20160811,76
20160812,31
20160813,62
20160814,26
20160815,37
20160816,29
20160817,37
20160818,66
20160819,64
20160820,36
20160821,32
20160822,45
20160823,29
20160824,43
20160825,48
20160826,39
20160827,40
20160828,35
20160829,34
20160830,32
20160831,27
20160901,57
20160902,47
20160903,61
20160904,38
20160905,40
20160906,18
20160907,18
20160908,103
20160909,115
20160910,16
20160911,25
20160912,37
20160913,13
20160914,31
20160915,134
20160916,90
20160917,27
20160918,33
20160919,62
20160920,74
20160921,16
20160922,67
20160923,22
20160924,47
20160925,24
20160926,108
20160927,23
20160928,26
20160929,74
20160930,121
20161001,96
20161002,35
20161003,55
20161004,52
20161005,71
20161006,83
20161007,63
20161008,20
20161009,35
20161010,65
20161011,45
20161012,101
20161013,198
20161014,46
20161015,50
20161016,103
20161017,83
20161018,20
20161019,26
20161020,78
20161021,120
20161022,43
20161023,15
20161024,16
20161025,19
20161026,32
20161027,64
20161028,161
20161029,61
20161030,72
20161031,19
20161101,107
20161102,20
20161103,118
20161104,121
20161105,81
20161106,22
20161107,227
20161108,5
20161109,11
20161110,30
20161111,54
20161112,35
20161113,27
20161114,17
20161115,13
20161116,32
20161117,47
20161118,64
20161119,33
20161120,33
20161121,24
20161122,17
20161123,17
20161124,32
20161125,58
20161126,14
20161127,29
20161128,30
20161129,29
20161130,13
20161201,91
20161202,75
20161203,28
20161204,30
20161205,20
20161206,34
20161207,40
20161208,66
20161209,44
20161210,19
20161211,5
20161212,19
20161213,10
20161214,10
20161215,39
20161216,55
20161217,14
20161218,7
20161219,20
20161220,11
20161221,18
20161222,41
20161223,29
20161224,22
20161225,16
20161226,72
20161227,54
20161228,56
20161229,62
20161230,46
20161231,19
20170101,39
20170102,48
20170103,36
20170104,24
20170105,34
20170106,34
20170107,9
20170108,45
20170109,10
20170110,13
20170111,7
20170112,42
20170113,30
20170114,131
20170115,18
20170116,21
20170117,5
20170118,83
20170119,28
20170120,23
20170121,35
20170122,16
20170123,98
20170124,18
20170125,97
20170126,28
20170127,21
20170128,15
20170129,11
20170130,18
20170131,7
20170201,91
20170202,34
20170203,30
20170204,20
20170205,15
20170206,14
20170207,11
20170208,3
20170209,43
20170210,38
20170211,24
20170212,90
20170213,33
20170214,41
20170215,22
20170216,36
20170217,61
20170218,12
20170219,17
20170220,53
20170221,16
20170222,14
20170223,51
20170224,32
20170225,94
20170226,41
20170227,26
20170228,9
20170301,15
20170302,155
20170303,34
20170304,21
20170305,25
20170306,27
20170307,26
20170308,21
20170309,50
20170310,37
20170311,43
20170312,27
20170313,73
20170314,33
20170315,103
20170316,54
20170317,44
20170318,19
20170319,17
20170320,28
20170321,82
20170322,25
20170323,54
20170324,36
20170325,41
20170326,25
20170327,19
20170328,11
20170329,16
20170330,46
20170331,71
20170401,38
20170402,13
20170403,65
20170404,59
20170405,79
20170406,123
20170407,38
20170408,55
20170409,91
20170410,47
20170411,23
20170412,35
20170413,75
20170414,65
20170415,111
20170416,55
20170417,38
20170418,36
20170419,29
20170420,51
20170421,115
20170422,93
20170423,51
20170424,30
20170425,23
20170426,191
20170427,80
20170428,85
20170429,108
20170430,24
20170501,75
20170502,30
20170503,90
20170504,116
20170505,94
20170506,103
20170507,38
20170508,71
20170509,50
20170510,57
20170511,64
20170512,47
20170513,58
20170514,21
20170515,190
20170516,41
20170517,32
20170518,50
20170519,214
20170520,118
20170521,36
20170522,62
20170523,33
20170524,101
20170525,74
20170526,65
20170527,36
20170528,59
20170529,23
20170530,125
20170531,44
20170601,79
20170602,80
20170603,53
20170604,38
20170605,40
20170606,35
20170607,52
20170608,189
20170609,77
20170610,25
20170611,61
20170612,56
20170613,24
20170614,44
20170615,50
20170616,62
20170617,110
20170618,32
20170619,57
20170620,51
20170621,69
20170622,37
20170623,82
20170624,46
20170625,16
20170626,57
20170627,80
20170628,97
20170629,56
20170630,53
20170701,32
20170702,31
20170703,34
20170704,32
20170705,53
20170706,49
20170707,69
20170708,30
20170709,67
20170710,46
20170711,45
20170712,50
20170713,41
20170714,27
20170715,75
20170716,29
20170717,47
20170718,33
20170719,13
20170720,29
20170721,29
20170722,42
20170723,50
20170724,42
20170725,35
20170726,57
20170727,40
20170728,60
20170729,67
20170730,28
20170731,42
20170801,49
20170802,33
20170803,44
20170804,28
20170805,29
20170806,26
20170807,37
20170808,44
20170809,41
20170810,43
20170811,34
20170812,44
20170813,32
20170814,34
20170815,42
20170816,75
20170817,44
20170818,58
20170819,56
20170820,23
20170821,31
20170822,19
20170823,26
20170824,30
20170825,34
20170826,38
20170827,28
20170828,27
20170829,30
20170830,13
20170831,31
