IsCanceled,LeadTime,ArrivalDateYear,ArrivalDateMonth,ArrivalDateWeekNumber,ArrivalDateDayOfMonth,StaysInWeekendNights,StaysInWeekNights,Adults,Children,Babies,Meal,Country,MarketSegment,DistributionChannel,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,ReservedRoomType,AssignedRoomType,BookingChanges,DepositType,Agent,Company,DaysInWaitingList,CustomerType,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests,ReservationStatus,ReservationStatusDate
0,23,2017,June,24,17,1,1,2,0,0,BB       ,ESP,Direct,Direct,0,0,0,A               ,C               ,0,No Deposit     ,250,       NULL,0,Transient,145,0,2,Check-Out,2017-06-19
1,94,2015,September,37,10,2,5,2,0,0,BB       ,PRT,Direct,Direct,0,0,0,F               ,F               ,0,No Deposit     ,250,       NULL,0,Transient,120.43,0,0,Canceled,2015-06-11
0,167,2017,June,24,14,2,5,3,0,0,BB       ,IRL,Direct,Direct,0,0,0,F               ,F               ,0,No Deposit     ,250,       NULL,0,Transient,167,0,0,Check-Out,2017-06-21
0,175,2016,August,35,22,1,4,2,1,0,HB       ,PRT,Direct,Direct,0,0,0,A               ,A               ,0,No Deposit     ,       NULL,       NULL,0,Transient,204,1,1,Check-Out,2016-08-27
0,13,2016,January,4,21,0,3,1,0,0,BB       ,FRA,Online TA,TA/TO,0,0,0,A               ,D               ,0,No Deposit     ,240,       NULL,0,Transient,54,1,0,Check-Out,2016-01-24
0,172,2016,September,40,30,2,3,2,0,0,BB       ,GBR,Online TA,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,240,       NULL,0,Transient,86,0,1,Check-Out,2016-10-05
1,8,2016,November,49,27,2,3,2,0,0,BB       ,ESP,Direct,Direct,0,0,0,F               ,F               ,0,No Deposit     ,250,       NULL,0,Transient,57.55,0,0,Canceled,2016-11-21
1,211,2016,September,37,7,0,3,1,0,0,BB       ,PRT,Groups,TA/TO,0,0,0,D               ,D               ,0,Non Refund     ,1,       NULL,0,Transient,89,0,0,Canceled,2016-02-09
1,24,2017,April,16,16,1,0,2,0,0,BB       ,ESP,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,240,       NULL,0,Transient,85,0,0,Canceled,2017-03-23
0,104,2017,July,28,12,0,4,2,0,0,BB       ,PRT,Offline TA/TO,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,40,       NULL,0,Contract,121.5,0,0,Check-Out,2017-07-16
1,6,2016,October,42,11,0,2,2,0,0,BB       ,ESP,Online TA,TA/TO,0,0,0,E               ,E               ,0,No Deposit     ,240,       NULL,0,Transient,95,0,2,No-Show,2016-10-11
0,0,2016,April,15,5,0,1,1,0,0,BB       ,PRT,Direct,Direct,0,0,0,A               ,D               ,0,No Deposit     ,       NULL,       NULL,0,Transient,50,0,0,Check-Out,2016-04-06
0,70,2015,August,31,1,2,5,2,0,0,BB       ,PRT,Direct,Direct,0,0,0,E               ,E               ,1,No Deposit     ,250,       NULL,0,Transient,187.14,0,0,Check-Out,2015-08-08
0,24,2016,April,17,17,2,1,2,0,0,BB       ,FRA,Online TA,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,240,       NULL,0,Transient,81,1,1,Check-Out,2016-04-20
1,183,2016,April,16,16,1,1,2,0,0,HB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,Non Refund     ,298,       NULL,0,Transient-Party,85,0,0,Canceled,2016-03-16
1,364,2016,October,42,12,0,4,2,0,0,BB       ,PRT,Groups,Corporate,0,0,0,A               ,A               ,0,No Deposit     ,       NULL,223,0,Transient-Party,46,0,0,Canceled,2016-09-29
0,6,2015,December,50,9,0,3,2,0,0,BB       ,ESP,Online TA,TA/TO,0,0,0,A               ,D               ,0,No Deposit     ,240,       NULL,0,Transient,48,0,0,Check-Out,2015-12-12
0,2,2015,November,47,18,0,1,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,D               ,0,No Deposit     ,       NULL,337,0,Transient,38,0,0,Check-Out,2015-11-19
0,42,2017,March,13,28,2,5,2,0,0,BB       ,FRA,Direct,Direct,0,0,0,A               ,A               ,0,No Deposit     ,250,       NULL,0,Transient,59.29,0,2,Check-Out,2017-04-04
0,311,2016,May,22,26,2,5,2,0,0,HB       ,GBR,Offline TA/TO,TA/TO,0,0,0,A               ,C               ,1,No Deposit     ,40,       NULL,0,Contract,43.78,0,0,Check-Out,2016-06-02
0,31,2016,October,41,7,0,1,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,G               ,0,No Deposit     ,       NULL,443,0,Transient-Party,75,1,0,Check-Out,2016-10-08
1,42,2017,July,29,17,2,5,2,2,0,HB       ,PRT,Online TA,TA/TO,0,0,0,G               ,G               ,0,No Deposit     ,240,       NULL,0,Transient,342.29,0,0,Canceled,2017-06-21
1,207,2015,September,39,26,1,1,2,0,0,HB       ,PRT,Offline TA/TO,TA/TO,0,1,0,A               ,A               ,0,No Deposit     ,208,       NULL,0,Transient,34,0,0,Canceled,2015-06-27
0,3,2016,May,21,19,0,1,1,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,C               ,0,No Deposit     ,240,       NULL,0,Transient,70,1,0,Check-Out,2016-05-20
0,21,2017,February,8,25,2,1,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,D               ,D               ,1,No Deposit     ,240,       NULL,0,Transient-Party,61.33,0,2,Check-Out,2017-02-28
0,1,2016,March,11,8,0,2,1,0,0,BB       ,NULL,Corporate,Corporate,0,0,1,A               ,D               ,0,No Deposit     ,94,       NULL,0,Transient,27,0,0,Check-Out,2016-03-10
0,12,2015,November,47,17,0,4,2,0,0,HB       ,GBR,Offline TA/TO,TA/TO,0,0,0,E               ,E               ,0,No Deposit     ,115,       NULL,0,Transient,65.9,0,0,Check-Out,2015-11-21
1,158,2017,June,24,16,0,2,2,0,0,BB       ,ESP,Online TA,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,240,       NULL,0,Transient,125,0,0,Canceled,2017-01-11
1,108,2016,March,10,1,0,1,2,0,0,BB       ,PRT,Online TA,TA/TO,0,1,0,D               ,D               ,0,No Deposit     ,240,       NULL,0,Transient,46.4,0,2,Canceled,2015-11-24
0,8,2016,February,9,27,1,1,2,0,0,HB       ,PRT,Online TA,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,241,       NULL,0,Transient,55.44,0,1,Check-Out,2016-02-29
1,140,2017,June,24,11,2,4,2,0,0,HB       ,PRT,Online TA,TA/TO,0,0,0,E               ,E               ,2,No Deposit     ,240,       NULL,0,Transient,172,0,2,Canceled,2017-03-06
0,2,2017,May,20,20,0,1,2,1,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,1,No Deposit     ,240,       NULL,0,Transient-Party,108,0,1,Check-Out,2017-05-21
0,344,2017,June,22,1,3,8,2,0,0,BB       ,GBR,Offline TA/TO,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,243,       NULL,0,Contract,70.4,0,0,Check-Out,2017-06-12
0,5,2016,November,48,26,0,1,2,0,0,BB       ,FRA,Online TA,TA/TO,0,0,0,A               ,D               ,1,No Deposit     ,240,       NULL,0,Transient,43,0,1,Check-Out,2016-11-27
0,312,2017,March,10,5,2,5,2,0,0,HB       ,DEU,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,298,       NULL,0,Transient-Party,56,0,0,Check-Out,2017-03-12
1,225,2016,May,22,28,1,1,2,0,0,HB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,298,       NULL,0,Transient-Party,85,0,0,Canceled,2016-04-26
1,46,2017,February,7,13,1,3,1,0,0,BB       ,GBR,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,240,       NULL,0,Transient,43,0,0,Canceled,2016-12-30
0,4,2017,January,2,14,0,1,2,0,0,HB       ,PRT,Groups,TA/TO,0,0,0,A               ,D               ,0,No Deposit     ,168,       NULL,0,Transient-Party,100,0,1,Check-Out,2017-01-15
1,53,2016,November,46,11,2,4,2,0,0,HB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,241,       NULL,0,Transient,49.9,0,1,Canceled,2016-10-11
0,288,2017,June,25,23,2,5,3,0,0,BB       ,PRT,Direct,Direct,0,0,0,D               ,D               ,0,No Deposit     ,       NULL,       NULL,0,Transient,125.6,0,0,Check-Out,2017-06-30
0,20,2016,October,44,26,0,4,2,0,0,BB       ,CN,Online TA,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,241,       NULL,0,Transient,69.68,1,1,Check-Out,2016-10-30
0,0,2016,February,6,4,0,1,2,0,0,BB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,1,No Deposit     ,127,       NULL,0,Transient,30.5,1,0,Check-Out,2016-02-05
0,28,2017,August,34,20,2,0,2,0,0,BB       ,USA,Online TA,TA/TO,0,0,0,D               ,E               ,0,No Deposit     ,240,       NULL,0,Transient,250,0,1,Check-Out,2017-08-22
0,188,2016,June,26,21,4,10,2,0,0,BB       ,NOR,Online TA,TA/TO,0,0,0,A               ,C               ,0,No Deposit     ,242,       NULL,0,Transient,74.57,0,1,Check-Out,2016-07-05
0,3,2016,April,15,8,0,1,2,0,0,BB       ,PRT,Groups,TA/TO,0,0,0,A               ,C               ,0,No Deposit     ,146,       NULL,0,Transient-Party,54,0,0,Check-Out,2016-04-09
0,4,2017,May,19,8,1,0,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,5,A               ,D               ,0,No Deposit     ,       NULL,62,0,Transient,45,0,0,Check-Out,2017-05-09
0,2,2017,February,5,4,2,5,1,0,0,BB       ,PRT,Direct,Direct,0,0,0,D               ,D               ,0,No Deposit     ,       NULL,       NULL,0,Transient,43.14,0,0,Check-Out,2017-02-11
1,40,2016,June,23,1,2,6,2,0,0,BB       ,POL,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,240,       NULL,0,Transient,114,0,0,Canceled,2016-05-02
0,0,2016,January,4,18,1,0,1,0,0,BB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,D               ,0,No Deposit     ,330,       NULL,0,Transient-Party,38,0,0,Check-Out,2016-01-19
0,15,2016,March,14,27,2,2,2,0,0,BB       ,IRL,Direct,Direct,0,0,0,E               ,E               ,0,No Deposit     ,250,       NULL,0,Transient,66.5,0,0,Check-Out,2016-03-31
0,221,2015,October,41,10,1,1,2,0,0,HB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,208,       NULL,0,Transient-Party,74,0,1,Check-Out,2015-10-12
0,38,2016,October,44,29,2,1,2,0,0,BB       ,ESP,Offline TA/TO,TA/TO,0,0,0,A               ,D               ,0,No Deposit     ,6,       NULL,0,Transient,29,0,1,Check-Out,2016-11-01
1,110,2017,July,28,11,0,5,2,1,0,BB       ,ISR,Online TA,TA/TO,0,0,0,E               ,E               ,0,No Deposit     ,240,       NULL,0,Transient,200,0,1,Canceled,2017-03-28
0,7,2017,April,14,7,1,2,2,0,0,BB       ,FRA,Online TA,TA/TO,0,0,0,A               ,C               ,0,No Deposit     ,242,       NULL,0,Transient,92,1,1,Check-Out,2017-04-10
0,79,2015,July,27,4,4,6,2,1,0,HB       ,PRT,Direct,Direct,0,0,0,D               ,D               ,1,No Deposit     ,250,       NULL,0,Transient,149,0,1,Check-Out,2015-07-14
0,47,2016,September,39,18,2,1,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,240,       NULL,0,Transient,86,0,2,Check-Out,2016-09-21
1,69,2017,April,15,14,2,3,2,0,0,BB       ,ESP,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,240,       NULL,0,Transient,70,0,2,Canceled,2017-02-15
0,214,2016,June,26,20,2,5,2,0,0,BB       ,ROU,Offline TA/TO,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,11,       NULL,0,Transient,68.4,0,1,Check-Out,2016-06-27
0,6,2016,August,34,18,0,2,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,242,       NULL,0,Transient,189,0,1,Check-Out,2016-08-20
0,2,2015,December,51,17,0,1,1,0,0,BB       ,PRT,Offline TA/TO,TA/TO,1,0,1,A               ,A               ,0,No Deposit     ,314,       NULL,0,Transient,26,0,0,Check-Out,2015-12-18
0,11,2015,December,49,5,2,1,2,0,0,Undefined,ESP,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,350,       NULL,0,Transient-Party,68,0,0,Check-Out,2015-12-08
0,1,2016,December,53,29,0,1,2,2,0,BB       ,ESP,Online TA,TA/TO,0,0,0,G               ,G               ,0,No Deposit     ,240,       NULL,0,Transient,119,0,0,Check-Out,2016-12-30
1,259,2015,September,38,17,0,3,1,0,0,BB       ,GBR,Groups,Corporate,0,1,0,A               ,A               ,0,Non Refund     ,       NULL,223,0,Transient,33.3,0,0,Canceled,2015-01-21
0,3,2017,January,2,13,0,2,1,0,0,BB       ,POL,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,240,       NULL,0,Transient,43,0,1,Check-Out,2017-01-15
0,0,2015,August,35,24,1,0,2,0,0,BB       ,PRT,Direct,Direct,0,0,0,A               ,F               ,0,No Deposit     ,       NULL,       NULL,0,Transient,153,0,0,Check-Out,2015-08-25
1,198,2016,October,42,15,2,5,2,0,0,BB       ,AUT,Online TA,TA/TO,0,0,0,D               ,D               ,2,No Deposit     ,240,       NULL,0,Transient-Party,68,0,0,Canceled,2016-08-02
0,2,2016,November,47,16,0,1,1,0,0,BB       ,ESP,Online TA,TA/TO,1,0,1,A               ,A               ,0,No Deposit     ,240,       NULL,0,Transient,60,0,2,Check-Out,2016-11-17
0,6,2016,March,13,21,1,0,1,0,0,BB       ,PRT,Corporate,Corporate,0,1,1,A               ,A               ,0,No Deposit     ,       NULL,53,0,Transient,40,0,0,Check-Out,2016-03-22
0,336,2016,September,38,15,1,3,2,0,0,BB       ,GBR,Groups,Direct,0,0,0,A               ,A               ,1,No Deposit     ,       NULL,223,0,Transient-Party,81,1,0,Check-Out,2016-09-19
1,155,2015,October,44,31,0,1,2,0,0,BB       ,PRT,Groups,Direct,0,0,0,A               ,A               ,0,No Deposit     ,       NULL,       NULL,0,Transient,56,0,0,Canceled,2015-10-29
0,78,2015,October,41,7,0,4,2,0,0,BB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,36,       NULL,0,Transient,64.29,1,0,Check-Out,2015-10-11
0,32,2016,October,41,8,2,1,2,0,0,BB       ,GBR,Online TA,TA/TO,0,0,0,E               ,E               ,0,No Deposit     ,240,       NULL,0,Transient-Party,115.33,0,1,Check-Out,2016-10-11
0,0,2015,July,29,13,1,1,4,0,0,BB       ,PRT,Direct,Direct,0,0,0,L               ,H               ,0,No Deposit     ,       NULL,       NULL,0,Transient,150,0,0,Check-Out,2015-07-15
0,128,2017,June,24,13,0,2,2,1,0,HB       ,ESP,Online TA,TA/TO,0,0,0,D               ,D               ,1,No Deposit     ,240,       NULL,0,Transient,171,1,0,Check-Out,2017-06-15
0,2,2016,October,44,23,2,2,1,0,0,SC       ,SWE,Online TA,TA/TO,0,0,0,A               ,I               ,0,No Deposit     ,241,       NULL,0,Transient,4.5,0,1,Check-Out,2016-10-27
0,131,2016,June,26,20,2,5,2,0,0,BB       ,GBR,Offline TA/TO,TA/TO,0,0,0,E               ,E               ,0,No Deposit     ,8,       NULL,0,Transient,81.2,0,0,Check-Out,2016-06-27
0,5,2017,February,6,11,0,1,2,0,0,BB       ,IRL,Online TA,TA/TO,0,0,0,A               ,D               ,0,No Deposit     ,240,       NULL,0,Transient,48,0,1,Check-Out,2017-02-12
1,55,2017,July,29,17,3,8,2,0,0,BB       ,RUS,Direct,Direct,0,0,0,F               ,F               ,0,No Deposit     ,250,       NULL,0,Transient,260,0,0,Canceled,2017-05-29
0,14,2017,July,28,10,1,1,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,240,       NULL,0,Transient,160,0,1,Check-Out,2017-07-12
1,35,2017,April,15,13,1,3,2,0,0,HB       ,PRT,Online TA,TA/TO,0,0,0,E               ,E               ,0,No Deposit     ,240,       NULL,0,Transient,162,0,0,Canceled,2017-03-09
1,62,2016,March,14,27,2,4,2,0,0,BB       ,PRT,Online TA,TA/TO,0,0,0,E               ,E               ,1,No Deposit     ,240,       NULL,0,Transient,69.33,0,2,Canceled,2016-01-28
0,242,2017,February,7,17,12,30,2,0,0,BB       ,DEU,Offline TA/TO,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,75,       NULL,0,Transient,35.7,0,1,Check-Out,2017-03-31
0,3,2016,January,5,25,1,2,1,0,0,BB       ,PRT,Corporate,Corporate,0,0,0,A               ,D               ,0,No Deposit     ,       NULL,207,0,Transient,33,1,0,Check-Out,2016-01-28
1,113,2017,March,13,29,0,4,2,0,0,BB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,6,       NULL,0,Transient,37.5,0,0,Canceled,2016-12-07
0,155,2015,October,44,31,0,1,2,0,0,BB       ,PRT,Groups,Direct,0,0,0,A               ,A               ,0,No Deposit     ,       NULL,       NULL,0,Transient,36,0,0,Check-Out,2015-11-01
1,188,2017,June,25,22,1,3,1,0,0,BB       ,PRT,Offline TA/TO,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,410,       NULL,0,Transient,49.95,0,0,Canceled,2017-04-06
0,0,2016,January,2,3,1,0,2,0,0,BB       ,ESP,Direct,Direct,0,0,0,A               ,A               ,0,No Deposit     ,250,       NULL,0,Group,43,0,0,Check-Out,2016-01-04
0,94,2017,February,7,13,1,3,2,0,0,HB       ,GBR,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,152,       NULL,0,Transient-Party,62,0,0,Check-Out,2017-02-17
0,76,2016,August,34,16,2,5,2,2,0,BB       ,PRT,Direct,Direct,0,0,0,C               ,C               ,0,No Deposit     ,250,       NULL,0,Transient,216.43,0,0,Check-Out,2016-08-23
0,9,2016,August,32,5,1,2,2,0,0,BB       ,GBR,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,240,       NULL,0,Transient,215.67,0,0,Check-Out,2016-08-08
1,13,2016,April,18,29,0,2,2,0,0,BB       ,BRA,Online TA,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,240,       NULL,0,Transient,80,0,1,Canceled,2016-04-16
0,49,2015,July,31,28,1,5,2,0,0,BB       ,NOR,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,241,       NULL,0,Transient,103.18,0,1,Check-Out,2015-08-03
0,11,2017,May,19,8,1,1,1,0,0,BB       ,PRT,Corporate,Corporate,0,1,13,A               ,E               ,0,No Deposit     ,       NULL,292,0,Transient,48.5,1,1,Check-Out,2017-05-10
0,25,2017,August,32,6,4,10,2,0,0,BB       ,PRT,Offline TA/TO,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,40,       NULL,0,Group,114.76,0,2,Check-Out,2017-08-20
0,94,2017,February,7,13,1,3,2,0,0,HB       ,GBR,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,152,       NULL,0,Transient-Party,62,0,0,Check-Out,2017-02-17
1,9,2016,May,21,15,1,0,2,0,0,BB       ,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,315,       NULL,0,Transient-Party,70,0,0,Canceled,2016-05-06
0,156,2017,May,19,8,2,5,2,0,0,HB       ,IRL,Groups,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,434,       NULL,0,Transient-Party,90,0,0,Check-Out,2017-05-15
0,6,2016,January,4,19,0,2,1,0,0,BB       ,GBR,Complementary,Direct,0,0,0,A               ,F               ,4,No Deposit     ,       NULL,277,0,Transient,0,0,0,Check-Out,2016-01-21
1,159,2017,July,29,22,2,5,2,0,0,HB       ,ESP,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,240,       NULL,0,Transient,192,0,0,Canceled,2017-02-16
1,74,2016,February,9,26,1,2,2,0,0,Undefined,PRT,Groups,TA/TO,0,0,0,A               ,A               ,0,Non Refund     ,68,       NULL,0,Transient,70,0,0,Canceled,2016-01-21
